Mutated_genes,Structural_variants_genes,CNA_genes,DEG_posi,DEG_nega,DEG,Epi_modiffications,All
NA,NA,NA,Prot_A0A0A0MSE8,Prot_A0A0S2Z4M4,Prot_A0A0A0MSE8,Prot_Q8N959,Prot_Q8N959
NA,NA,NA,Prot_Q5TZN3,Prot_A0A0S2Z579,Prot_Q5TZN3,Prot_B3KWB2,Prot_B3KWB2
NA,NA,NA,Prot_P31350,Prot_B7Z375,Prot_P31350,Prot_B2RBZ9,Prot_B2RBZ9
NA,NA,NA,Prot_F2Z333,Prot_B7Z1N8,Prot_F2Z333,Prot_Q9HAV5,Prot_Q9HAV5
NA,NA,NA,Prot_P58012,Prot_P10600,Prot_P58012,Prot_B4DQY6,Prot_B4DQY6
NA,NA,NA,Prot_Q53ZD3,Prot_A5YM40,Prot_Q53ZD3,Prot_O60890,Prot_O60890
NA,NA,NA,Prot_Q9NSP4,Prot_B3KVH9,Prot_Q9NSP4,Prot_A0A0C4DG76,Prot_A0A0C4DG76
NA,NA,NA,Prot_B1AHQ6,Prot_Q8TF64,Prot_B1AHQ6,Prot_Q9BQS7,Prot_Q9BQS7
NA,NA,NA,Prot_B1AHQ8,Prot_Q6UWI2,Prot_B1AHQ8,Prot_E7ES21,Prot_E7ES21
NA,NA,NA,Prot_B1AHQ7,Prot_Q96GL9,Prot_B1AHQ7,Prot_A6NDE8,Prot_A6NDE8
NA,NA,NA,Prot_A0A024R1Q3,Prot_Q6ZMC9,Prot_A0A024R1Q3,Prot_Q96EC8,Prot_Q96EC8
NA,NA,NA,Prot_Q9ULW5,Prot_P58872,Prot_Q9ULW5,Prot_Q9Y279,Prot_Q9Y279
NA,NA,NA,Prot_O15240,Prot_Q13326,Prot_O15240,Prot_P26038,Prot_P26038
NA,NA,NA,Prot_Q9UHK6,Prot_Q12816,Prot_Q9UHK6,Prot_V9HWC0,Prot_V9HWC0
NA,NA,NA,Prot_Q8WV74,Prot_Q9BX91,Prot_Q8WV74,Prot_Q92502,Prot_Q92502
NA,NA,NA,Prot_Q13740,Prot_B4DK08,Prot_Q13740,Prot_Q9Y4W2,Prot_Q9Y4W2
NA,NA,NA,Prot_B3KNN9,Prot_A0A024R9X0,Prot_B3KNN9,Prot_Q5HYM0,Prot_Q5HYM0
NA,NA,NA,Prot_Q96T25,Prot_Q9BX90,Prot_Q96T25,Prot_P98172,Prot_P98172
NA,NA,NA,Prot_Q9NZ53,Prot_Q9BX88,Prot_Q9NZ53,Prot_Q5VYX0,Prot_Q5VYX0
NA,NA,NA,Prot_P33981,Prot_A6XNE2,Prot_P33981,Prot_B4DJW3,Prot_B4DJW3
NA,NA,NA,Prot_Q9H3Y6,Prot_K7ERG9,Prot_Q9H3Y6,Prot_Q9NQZ6,Prot_Q9NQZ6
NA,NA,NA,Prot_Q9Y6L7,Prot_P00746,Prot_Q9Y6L7,Prot_Q8NG27,Prot_Q8NG27
NA,NA,NA,Prot_Q4KR72,Prot_A0A024R2R0,Prot_Q4KR72,Prot_B2CW77,Prot_B2CW77
NA,NA,NA,Prot_Q92826,Prot_Q96PB8,Prot_Q92826,Prot_O76087,Prot_O76087
NA,NA,NA,Prot_P10244,Prot_B7Z2W5,Prot_P10244,Prot_P0CL80,Prot_P0CL80
NA,NA,NA,Prot_Q12834,Prot_B7ZB61,Prot_Q12834,Prot_P0CL81,Prot_P0CL81
NA,NA,NA,Prot_Q5T848,Prot_Q9NZL6,Prot_Q5T848,Prot_P0CL82,Prot_P0CL82
NA,NA,NA,Prot_A6H8V1,Prot_B7Z915,Prot_A6H8V1,Prot_A1L429,Prot_A1L429
NA,NA,NA,Prot_O75093,Prot_Q5HYE3,Prot_O75093,Prot_Q96EF0,Prot_Q96EF0
NA,NA,NA,Prot_B7Z3D6,Prot_Q6UWY5,Prot_B7Z3D6,Prot_Q13070,Prot_Q13070
NA,NA,NA,Prot_P06493,Prot_B3KXY6,Prot_P06493,Prot_Q8NBU5,Prot_Q8NBU5
NA,NA,NA,Prot_I6L9I5,Prot_Q8N2S1,Prot_I6L9I5,Prot_P20800,Prot_P20800
NA,NA,NA,Prot_A0A024QZJ8,Prot_A0A0C4DH07,Prot_A0A024QZJ8,Prot_Q06416,Prot_Q06416
NA,NA,NA,Prot_Q8N257,Prot_P57103,Prot_Q8N257,Prot_Q5W064,Prot_Q5W064
NA,NA,NA,Prot_K7ES52,Prot_B3KU59,Prot_K7ES52,Prot_Q9Y5V0,Prot_Q9Y5V0
